source_type,reference_code,generic_name,trade_name,dosage_form,manufacturer,status
TMT,684251,เอ็ม แอนด์ เอ็ช แมนูแฟคเจอริ่ง,UCHOLINE,"(bethanechol chloride 5 mg) tablet, 1 tablet",เอ็ม แอนด์ เอ็ช แมนูแฟคเจอริ่ง,ACTIVE
TMT,466534,สหการโอสถ,U-COLFED,"(pseudoephedrine hydrochloride 60 mg + triprolidine hydrochloride 2.5 mg) film-coated tablet, 1 tabl",สหการโอสถ,ACTIVE
TMT,120726,วี.เอส. ฟาร์ม่า (1971,UCOMIN,") (glucosamine sulfate 250 mg) film-coated tablet, 1 tablet",วี.เอส. ฟาร์ม่า (1971),ACTIVE
TMT,121681,วี.เอส. ฟาร์ม่า (1971,UCOMIN-FORTE,") (glucosamine sulfate 500 mg) capsule, hard, 1 capsule",วี.เอส. ฟาร์ม่า (1971),ACTIVE
TMT,120757,วี.เอส. ฟาร์ม่า (1971,UCOMIN-FORTE,") (glucosamine sulfate 500 mg) film-coated tablet, 1 tablet",วี.เอส. ฟาร์ม่า (1971),ACTIVE
TMT,122171,วี.เอส. ฟาร์ม่า (1971,UCOMIN-SAC,") (glucosamine sulfate 1.5 g/3.95 g) powder for oral solution, 3.95 g sachet",วี.เอส. ฟาร์ม่า (1971),ACTIVE
TMT,881182,สหการโอสถ,UD 96 VASELINE SAHAKARN,"(petrolatum) ointment, 450 g jar",สหการโอสถ,ACTIVE
TMT,1043736,ที.แมน ฟาร์มา,UDEA,"(urea 10 g/100 g) cream, 30 g tube",ที.แมน ฟาร์มา,ACTIVE
TMT,1100779,ที.แมน ฟาร์มา,UDEA,"(urea 10 g/100 g) cream, 500 g jar",ที.แมน ฟาร์มา,ACTIVE
TMT,1043758,ที.แมน ฟาร์มา,UDEA,"(urea 20 g/100 g) cream, 30 g tube",ที.แมน ฟาร์มา,ACTIVE
TMT,1100808,ที.แมน ฟาร์มา,UDEA,"(urea 20 g/100 g) cream, 500 g jar",ที.แมน ฟาร์มา,ACTIVE
TMT,954524,สหการโอสถ,UDECOF,"(dextromethorphan hydrobromide 20 mg + guaifenesin 50 mg + terpin hydrate 85 mg) coated tablet, 1 ta",สหการโอสถ,ACTIVE
TMT,466552,ยูโทเปี้ยน,U-DICLOX,"(dicloxacillin 500 mg) capsule, hard, 1 capsule",ยูโทเปี้ยน,ACTIVE
TMT,611352,ยูโทเปี้ยน,U-DICLOX KIDS,"(dicloxacillin 62.5 mg/5 mL) powder for syrup, 60 mL bottle",ยูโทเปี้ยน,ACTIVE
TMT,541067,"3M DEUTSCHLAND, GERMANY",UDOCAINE 2%,"(articaine 4 g/100 mL + epinephrine 1.2 mg/100 mL) solution for injection, 1 mL cartridge","3M DEUTSCHLAND, GERMANY",ACTIVE
TMT,736460,ยูเมด้า,UDOCAINE 2%,"(lidocaine hydrochloride 400 mg/20 mL) solution for injection, 20 mL vial",ยูเมด้า,ACTIVE
TMT,1181615,เอเบิ้ล เมดิคอล,UDOCAINE 2%,"(lidocaine hydrochloride 1 g/50 mL) solution for injection, 50 mL vial",เอเบิ้ล เมดิคอล,ACTIVE
TMT,1181490,เอเบิ้ล เมดิคอล,UDOCAINE 2%,"(lidocaine hydrochloride 40 mg/2 mL) solution for injection, 2 mL vial",เอเบิ้ล เมดิคอล,ACTIVE
TMT,1181555,เอเบิ้ล เมดิคอล,UDOCAINE 2%,"(lidocaine hydrochloride 400 mg/20 mL) solution for injection, 20 mL vial",เอเบิ้ล เมดิคอล,ACTIVE
TMT,1235110,พอนด์ เคมีคอล,UDOCALM,"(tolperisone hydrochloride 50 mg) film-coated tablet, 1 tablet",พอนด์ เคมีคอล,ACTIVE
TMT,466575,พอนด์ เคมีคอล,UDOPAR-250,"(benserazide 50 mg + levodopa 200 mg) tablet, 1 tablet",พอนด์ เคมีคอล,ACTIVE
TMT,609929,วี.เอส. ฟาร์ม่า (1971,UDOPEX,") (dextromethorphan hydrobromide 10 mg/5 mL + guaifenesin 100 mg/5 mL) syrup, 60 mL bottle",วี.เอส. ฟาร์ม่า (1971),ACTIVE
TMT,766023,ยูนีซัน,U-ENEMA,"(sodium chloride 15 g/100 mL) rectal solution, 100 mL bottle",ยูนีซัน,ACTIVE
