source_type,reference_code,generic_name,trade_name,dosage_form,manufacturer,status
TTMT,9402164,น้ำมันไพล,น้ำมันไพล (รพ.ป่าโมก),ยาเข้าน้ำมัน,โรงพยาบาลป่าโมก,ACTIVE
TTMT,9402172,พอกเย็น (รพ.ป่าโมก),ยาพอกเย็น,ยาพอก,โรงพยาบาลป่าโมก,ACTIVE
TTMT,9402186,พอกตา,ยาพอกตา,ยาพอก,โรงพยาบาลป่าโมก,ACTIVE
TTMT,9402193,ห้าราก / แก้ไข้ห้าราก / แก้วห้าดวง / เบญจโลกวิเชียร ,ฟ้ารากแคปซูล,ยาแคปซูล,โรงพยาบาลพระอาจารย์ฝั้นอาจาโร,ACTIVE
TTMT,9402206,ขับลม (ช่อเขียวมะกอก),ยาขับลม (ช่อเขียวมะกอก),ยาแคปซูล,บริษัท แซนด์ - เอ็ม โกลบอล จำกัด,ACTIVE
TTMT,9402210,ผสมเพชรสังฆาต (ช่อเขียวมะกอก),ยาผสมเพชรสังฆาต (ช่อเขียวมะกอก),ยาแคปซูล,บริษัท แซนด์ - เอ็ม โกลบอล จำกัด,ACTIVE
TTMT,9402223,เอส เอ็ม แคปซูล (SAND-M),เอส เอ็ม แคปซูล (SAND-M),ยาแคปซูล,บริษัท แซนด์ - เอ็ม โกลบอล จำกัด,ACTIVE
TTMT,9402234,บรรเทาอาการท้องผูก (ช่อเขียวมะกอก),ยาบรรเทาอาการท้องผูก (ช่อเขียวมะกอก),ยาแคปซูล,บริษัท แซนด์ - เอ็ม โกลบอล จำกัด,ACTIVE
TTMT,9402247,ขมตราช่อเขียวมะกอกชนิดแคปซูล,ยาขมตราช่อเขียวมะกอกชนิดแคปซูล,ยาแคปซูล,บริษัท แซนด์ - เอ็ม โกลบอล จำกัด,ACTIVE
TTMT,9402252,บรรเทาโรคริดสีดวงทวาร ลีออน,บรรเทาโรคริดสีดวงทวาร ลีออน (ชิว เถ่า ซิน),ยาแคปซูล,บริษัท แซนด์ - เอ็ม โกลบอล จำกัด,ACTIVE
TTMT,9402268,ครีมบรรเทาอาการปวดเมื่อย,ยาครีม บรรเทาอาการปวดเมื่อย (ซีเคเอ็ม),ครีม,บริษัท แซนด์ - เอ็ม โกลบอล จำกัด,ACTIVE
TTMT,9402275,เจลบรรเทาอาการปวดเมื่อย,ยาเจล บรรเทาอาการปวดเมื่อย (ซีเคเอ็ม),เจล,บริษัท แซนด์ - เอ็ม โกลบอล จำกัด,ACTIVE
TTMT,9402281,ศุขไสยาศน์,ยาศุขไสยาศน์,ยาแคปซูล,โรงพยาบาลสมเด็จพระยุพราชเด่นชัย,ACTIVE
TTMT,9402299,น้ำมันกัญชา,น้ำมันกัญชา (สูตรหมอเดชา),ยาเข้าน้ำมัน,โรงพยาบาลสมเด็จพระยุพราชเด่นชัย,ACTIVE
TTMT,9402309,น้ำมันกัญชา,น้ำมันกัญชา (สูตรหมอเดชา),ยาเข้าน้ำมัน,โรงพยาบาลโพนพิสัย,ACTIVE
TTMT,9402313,ขี้ผึ้งไพลผสมสารสกัดรากกัญชา,ยาหม่องกัญชา เคเอ็มเอช,ขี้ผึ้ง,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9402321,ขี้ผึ้งสารสกัดกัญชา,แคนนาบิส เคเอ็มเอช บาล์ม,ขี้ผึ้ง,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9402332,น้ำมันไพลผสมสารสกัดรากกัญชา,ยาน้ำมันไพลผสมกัญชา,ยาเข้าน้ำมัน,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9402345,ชุดอบสมุนไพรผสมใบกัญชา,ยาชุดอบสมุนไพรผสมใบกัญชา คูเมือง,ยาต้ม,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9402350,ยาประคบ(ผสมกัญชา),ยาประคบผสมกัญชา คูเมือง,ยาประคบ,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9402366,น้ำมันกัญชา,น้ำมันกัญชา (สูตรหมอเดชา),ยาเข้าน้ำมัน,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9402378,หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล,ยาขี้ผึ้งไพล (สูตรร้อน),ขี้ผึ้ง,โรงพยาบาลแวงใหญ่,ACTIVE
TTMT,9402384,หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล,ยาขี้ผึ้งไพล (สูตรเย็น),ขี้ผึ้ง,โรงพยาบาลแวงใหญ่,ACTIVE
TTMT,9402397,น้ำมันไพล,น้ำมันไพล (รพ.แวงใหญ่),ยาเข้าน้ำมัน,โรงพยาบาลแวงใหญ่,ACTIVE
TTMT,9402402,มะระขี้นก,ยามะระขี้นกแคปซูล,ยาแคปซูล,โรงพยาบาลสมเด็จพระยุพราชยะหา,ACTIVE
TTMT,9402418,พญายอ,ยาทิงเจอร์พญายอ,ทิงเจอร์,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่สุขเกษม,ACTIVE
TTMT,9402425,บัวบก,ครีมบัวบก ตราอภัยภูเบศร,ครีม,มูลนิธิ โรงพยาบาลเจ้าพระยาอภัยภูเบศร,ACTIVE
TTMT,9402439,พญายอ,ยาหม่องผสมพญายอ,ขี้ผึ้ง,มูลนิธิ โรงพยาบาลเจ้าพระยาอภัยภูเบศร,ACTIVE
TTMT,9402441,หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล,ยาขี้ผึ้งไพล (รพ.สต.บ้านใหม่สุขเกษม),ขี้ผึ้ง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่สุขเกษม,ACTIVE
TTMT,9402456,พิมเสนน้ำ,ยาพิมเสนน้ำ  (รพ.สต.บ้านใหม่สุขเกษม),ยาน้ำ,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่สุขเกษม,ACTIVE
TTMT,9402460,น้ำมันไพล,น้ำมันไพล (รพ.สต.บ้านใหม่สุขเกษม),ยาเข้าน้ำมัน,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่สุขเกษม,ACTIVE
TTMT,9402473,ตรีผลา / พิกัดตรีผลา ,ตรีผลา (รพ.ทุ่งฝน),ยาต้ม,โรงพยาบาลทุ่งฝน,ACTIVE
TTMT,9402487,ผสมโคคลาน สูตรตำรับที่ 1,ยาผสมโคคลาน ชนิดชง ตราทีเอฟดี,ยาชง,บริษัท ไทยเอฟดี จำกัด,ACTIVE
TTMT,9402494,ถ่ายดีเกลือฝรั่ง ,ยาถ่ายดีเกลือฝรั่งชนิดแคปซูล ทีเอฟดี,ยาแคปซูล,บริษัท ไทยเอฟดี จำกัด,ACTIVE
TTMT,9402500,ประสะเปราะใหญ่,ยาแคปซูลประสะเปราะใหญ่ ตราทีเอฟดี,ยาแคปซูล,บริษัท ไทยเอฟดี จำกัด,ACTIVE
TTMT,9402516,จันทน์ลีลา,ยาจันทลีลาชนิดแคปซูล ตราทีเอฟดี,ยาแคปซูล,บริษัท ไทยเอฟดี จำกัด,ACTIVE
TTMT,9402528,ดมสมุนไพร ตราอภัยภูเบศร,ยาดมสมุนไพร ตราอภัยภูเบศร,ยาน้ำ,มูลนิธิ โรงพยาบาลเจ้าพระยาอภัยภูเบศร,ACTIVE
TTMT,9402537,แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2,ยาน้ำแก้ไอผสมมะขามป้อม สูตร 2,ยาน้ำ,โรงพยาบาลสมเด็จพระยุพราชยะหา,ACTIVE
TTMT,9402544,ปราบชมพูทวีป,ยาปราบชมพูทวีปแคปซูล,ยาแคปซูล,โรงพยาบาลสมเด็จพระยุพราชยะหา,ACTIVE
TTMT,9402559,ธาตุอบเชย ,ยาธาตุอบเชย ,ยาน้ำ,โรงพยาบาลสมเด็จพระยุพราชยะหา,ACTIVE
TTMT,9402563,หอมเทพจิตร,ยาหอมเทพจิตร,ยาผง,โรงพยาบาลสมเด็จพระยุพราชยะหา,ACTIVE
TTMT,9402571,แก้ลมอัมพฤกษ์ ,ยาแก้ลมอัมพฤกษ์ ,ยาผง,โรงพยาบาลสมเด็จพระยุพราชยะหา,ACTIVE
TTMT,9402585,ห้าราก / แก้ไข้ห้าราก / แก้วห้าดวง / เบญจโลกวิเชียร ,ยาห้ารากแคปซูล,ยาแคปซูล,โรงพยาบาลสมเด็จพระยุพราชยะหา,ACTIVE
TTMT,9402592,ตรีผลา / พิกัดตรีผลา ,ยาตรีผลาแคปซูล,ยาแคปซูล,โรงพยาบาลสมเด็จพระยุพราชยะหา,ACTIVE
TTMT,9402603,ศุขไสยาศน์,ยาแคปซูลศุขไสยาศน์,ยาแคปซูล,โรงพยาบาลเสาไห้เฉลิมพระเกียรติ 80 พรรษา,ACTIVE
TTMT,9402619,ประสะไพล,ไกน่าวีว่า,ยาแคปซูล,โรงงานฟาร์มแคร์ฟาร์มาซูติคอล คณะเภสัชศาสตร์ มหาวิทยาลัยมหาสารคาม,ACTIVE
TTMT,9402626,แผ่นพอกสมุนไพร,แผ่นพอกสมุนไพรสด บางจาก,ยาพอก,โรงพยาบาลบางจาก,ACTIVE
TTMT,9402635,รมยาสมุนไพร,รมยาสมุนไพร บางจาก,ยาแช่,โรงพยาบาลบางจาก,ACTIVE
TTMT,9402642,น้ำแก้ไอ ไอยรา เจอาร์,ยาน้ำแก้ไอ ไอยรา เจอาร์,ยาน้ำ,บริษัท ที.แมน.ฟาร์มาซูติคอล จำกัด (บริษัท เฮเว่น เฮิร์บ จำกัด ),ACTIVE
TTMT,9402657,ศุขไสยาศน์,ศุขไสยาศน์ แคปซูล,ยาแคปซูล,โรงพยาบาลสุวรรณภูมิ,ACTIVE
TTMT,9402661,น้ำมันกัญชา,ยาน้ำมันกัญชา (ตำรับหมอเดชา),ยาเข้าน้ำมัน,โรงพยาบาลสุวรรณภูมิ,ACTIVE
TTMT,9402674,ทาริดสีดวงทวารหนักและโรคผิวหนัง,ทาริดสีดวงทวารหนักและโรคผิวหนัง,ยาผง,โรงพยาบาลสุวรรณภูมิ,ACTIVE
TTMT,9402688,ทำลายพระสุเมรุ,ทำลายพระสุเมรุ,ยาผง,โรงพยาบาลสุวรรณภูมิ,ACTIVE
TTMT,9402690,ทำลายพระสุเมรุ,ทำลายพระสุเมรุ,ยาแคปซูล,โรงพยาบาลสุวรรณภูมิ,ACTIVE
TTMT,9402707,แก้ลมแก้เส้น,ยาแก้ลมแก้เส้น,ยาแคปซูล,โรงพยาบาลสุวรรณภูมิ,ACTIVE
TTMT,9402711,ยาประคบ(ผสมกัญชา),ยาลูกประคบ,ยาประคบ,โรงพยาบาลสุวรรณภูมิ,ACTIVE
TTMT,9402724,ชาชงกัญชา,ชาชงกัญชา,ยาผง,โรงพยาบาลสุวรรณภูมิ,ACTIVE
TTMT,9402730,หม่องไพล(ผสมกัญชา),ยาหม่องไพลผสมกัญชา,ขี้ผึ้ง,โรงพยาบาลสุวรรณภูมิ,ACTIVE
TTMT,9402748,ทาสะเก็ดเงิน(ผสมกัญชา),ยาทาสะเก็ดเงิน,ครีม,โรงพยาบาลสุวรรณภูมิ,ACTIVE
TTMT,9402753,ขมิ้นชัน,ยาขมิ้นชันชนิดแคปซูล,ยาแคปซูล,โรงพยาบาลโพนพิสัย,ACTIVE
TTMT,9402769,ฟ้าทะลายโจร,ยาฟ้าทะลายโจรชนิดแคปซูล PH HERB,ยาแคปซูล,โรงพยาบาลโพนพิสัย,ACTIVE
TTMT,9402776,เถาวัลย์เปรียง,ยาเถาวัลย์เปรียงชนิดแคปซูล PH HERB,ยาแคปซูล,โรงพยาบาลโพนพิสัย,ACTIVE
TTMT,9402782,รางจืด,ยารางจืดชนิดแคปซูล PH HERB,ยาแคปซูล,โรงพยาบาลโพนพิสัย,ACTIVE
TTMT,9402795,มะขามแขก,ยาชงเซนาทัย ตราทีเอฟดี,ยาชง,บริษัท ไทยเอฟดี จำกัด,ACTIVE
TTMT,9402805,ขมิ้นชัน,ยาแคปซูลขมิ้นชันอ้วยอัน,ยาแคปซูล,สถานที่ผลิตยาอ้วยอันโอสถ,ACTIVE
TTMT,9402814,ฟ้าทะลายโจร,ยาฟ้าทะลายโจร ชนิดแคปซูล,ยาแคปซูล,สถานที่ผลิตยาอ้วยอันโอสถ,ACTIVE
TTMT,9402822,สารสกัดจากฟ้าทะลายโจร,ยาแคปซูลฟ้าทะลายโจรสกัด,ยาแคปซูล,สถานที่ผลิตยาอ้วยอันโอสถ,ACTIVE
TTMT,9402833,สารสกัดจากฟ้าทะลายโจร,ยาแคปซูลฟ้าทะลายโจรสกัด ตราอ้วยอันโอสถ,ยาแคปซูล,สถานที่ผลิตยาอ้วยอันโอสถ,ACTIVE
TTMT,9402846,มะขามแขก,ยามะขามแขก     ชนิดแคปซูล,ยาแคปซูล,สถานที่ผลิตยาอ้วยอันโอสถ,ACTIVE
